,RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,gov_coords
2916,3684,04/06/2013,Ventient (formerly Infinis),Westfield,Wind Onshore,12.5,2.5,5.0,,Operational,"Near Kingassie, Lochgelly, Fife. KY5 0J",Fife,Scotland,Scotland,,319640,695487.0,31/03/2013,"(56.14528536063644, -3.2949303664494956)"
2917,3685,07/12/2012,Nuon UK,Swinford Wind Farm,Wind Onshore,27.5,0.4,11.0,,Operational,"Lutterworth Road, Swinford, Lutterworth, Leicestershire. LE17 6BA",Leicestershire,East Midlands,England,,456804,279647.0,21/11/2012,"(52.4118834397971, -1.1663198827453645)"
2918,3686,25/06/2013,Fivestone Ltd,Burnt House Farm,Wind Onshore,6.0,2.0,3.0,,Operational,"Burnt House Road, Whittlesey, Burnthouse Sidings, Peterborough, Cambs",Cambridgeshire,Eastern,England,PE7 2HP,533458,295082.0,19/06/2013,"(52.5372533692463, -0.03372694113186714)"
2920,3688,25/03/2015,Community Windpower (Community Wind Power),Calder Water Community Wind Farm,Wind Onshore,28.0,2.0,14.0,,Operational,"Harshaw Hill, Drumclog, Strathaven, Strathclyde. ML10 6QN",Strathclyde,Scotland,Scotland,,260869,640428.0,01/09/2013,"(55.63743559161936, -4.211863127976678)"
2922,3690,25/03/2015,Community Windpower,Millour Hill Community Windfarm,Wind Onshore,18.0,3.0,6.0,,Operational,"Baidland Hill,",Strathclyde,Scotland,Scotland,,225843,652080.0,01/05/2012,"(55.730721885858806, -4.775047387006576)"
2923,3691,19/03/2015,Strathdee Energy,Netherton of Windyhills,Wind Onshore,4.6,2.3,2.0,,Operational,"Grange Crossroads, Keith, Grampian",Grampian,Scotland,Scotland,AB55 6NL,348948,857294.0,01/11/2014,"(57.60274965619779, -2.855897026739985)"
2925,3693,19/04/2013,Private Developer,Gallowhill,Wind Onshore,1.8,0.9,2.0,,Operational,"West Manse, Westray, KW17 2DR",Orkney Islands,Scotland,Scotland,,344124,1043753.0,18/02/2013,"(59.27656218833373, -2.9821831490756225)"
2926,3694,01/05/2018,Foresight/Belltown,Frodsham Marsh,Wind Onshore,50.4,2.65,19.0,,Operational,Land between Manchester Ship Canal and M56,Cheshire,North West,England,,348857,378461.0,15/11/2016,"(53.30061770023507, -2.7688585873174527)"
2927,3695,04/09/2018,RWE Npower Renewables,Brechfa Forest West,Wind Onshore,57.4,2.05,28.0,,Operational,"centred around the Afon Pib Valley, east of Alltwalis and the second area around Banc Llywelau, south of Rhydcymerau.",Dyfed,Wales,Wales,,254202,231259.0,18/01/2018,"(51.96064219183833, -4.123373226909781)"
2929,3698,07/01/2015,Green Cat Renewables,Greenhill Croft,Wind Onshore,4.6,2.3,2.0,,Operational,"Bonnykelly, New Pitsligo, Fraserburgh, Grampian",Grampian,Scotland,Scotland,AB43 6NP,388080,856083.0,01/03/2012,"(57.59461112199873, -2.2010649323274483)"
2930,3699,27/02/2014,Severn Trent Water,Severn Trent STW,Wind Onshore,2.5,2.5,1.0,,Operational,"Fillingate, Wanlip, Leicester",Leicestershire,East Midlands,England,LE7 4PF,459710,311517.0,26/02/2014,"(52.69804717071994, -1.1178774584742)"
2931,3700,31/05/2016,Falck Renewables,Spaldington Airfield,Wind Onshore,12.5,2.5,5.0,,Operational,"Holme Road, Spaldington, East Riding, Yorkshire. DN14 7NB",Humberside,Yorkshire and Humber,England,,479158,433880.0,11/05/2016,"(53.79521796736141, -0.7997747359130761)"
2932,3701,25/03/2015,Octopus Investements/Blue Energy (previously Auquhirie Land Company Ltd),Hillhead of Auquhirie,Wind Onshore,6.9,2.3,3.0,,Operational,"Hillhead of Auquhirie, Stonehaven",Grampian,Scotland,Scotland,,328500,785500.0,16/01/2013,"(56.95519547641126, -3.177207776319353)"
2933,3702,25/03/2015,Scottish Power Renewables,Middleton Wind Farm,Wind Onshore,12.0,2.0,6.0,,Operational,"East Refrewshire, G77 6",Strathclyde,Scotland,Scotland,,253158,656019.0,04/09/2013,"(55.77513705150824, -4.342616461661332)"
2934,3703,25/03/2015,Renewable Energy Generation,Orchard End,Wind Onshore,4.0,2.0,2.0,,Operational,"land at Orchard End, near Pilling, Eagland Hill, Preston",Lancashire,North West,England,,343216,445233.0,17/06/2013,"(53.900138040160066, -2.865678880889899)"
2936,3705,24/08/2015,Pennant Walters,Mynydd Bwllfa Wind Farm - Resubmission,Wind Onshore,22.5,2.5,9.0,,Operational,South of Hirwaun,Mid Glamorgan,Wales,Wales,,295787,202855.0,08/05/2015,"(51.714711569935865, -3.509847324117712)"
2938,3707,01/05/2018,Foresight,Tirgwynt,Wind Onshore,24.6,2.05,12.0,,Operational,"Mynydd yr Hendre & Mynydd Pistyll Du Near Carno, Powys",Powys,Wales,Wales,,299943,302442.0,15/02/2017,"(52.61050772691963, -3.4791018004511316)"
2941,3711,04/10/2017,Renewables Infrastructure Group (TRIG),Garreg Lwyd,Wind Onshore,34.0,2.0,23.0,137.0,Operational,"Garreg Lwyd Hill Between Felindre & Llanbadarn Fynydd, Llandrindod Wells, Powys",Powys,Wales,Wales,LD1 6YF,312758,280228.0,22/02/2017,"(52.413068393102726, -3.2840677829471585)"
2943,3713,11/08/2017,Gaelectric Developments/ CGN Europe Energy,Crockbrack,Wind Onshore,2.0,2.0,1.0,,Operational,"(north of Loughmarve Road and west of Gortscraheen Road, with access via Loughmallon Road), Limehill, Pomeroy, County Tyrone.",Co. Tyrone,Northern Ireland,Northern Ireland,,80213,535661.0,20/03/2017,"(54.614492548184096, -6.955172482437015)"
2946,3716,05/01/2015,Lowlands Health & Energy Ltd ,Connaught Road,Wind Onshore,1.7,0.85,2.0,,Operational,"Approx 130m NW of 44 Connaught Road, Randalstown",Co. Antrim,Northern Ireland,Northern Ireland,BT41 2NX,123057,549749.0,11/10/2012,"(54.76605283890944, -6.307106327678817)"
2947,3717,03/12/2012,Northern Wind Power ,Crockagarron Ext,Wind Onshore,2.5,2.5,1.0,,Operational,"Lands to the East of Whitebridge Road and South of Gleneeny Road, on lands at Crockagarron in the Townland of Gleneeny, Co Tyrone.",Co. Tyrone,Northern Ireland,Northern Ireland,,76240,528915.0,01/06/2012,"(54.55156991065426, -7.009023535896296)"
2948,3718,07/01/2015,Green Cat Renewables,Castle of Auchry Farm,Wind Onshore,2.4,0.8,3.0,,Operational,"Cuminestown, Turriff, Aberdeenshire",Grampian,Scotland,Scotland,AB53 5UR,373109,821437.0,01/11/2013,"(57.28276283991576, -2.4476852147227706)"
2952,3722,06/01/2014,Lovie Ltd,Little Byth,Wind Onshore,4.5,1.5,3.0,,Operational,"New Byth, Turriff. AB53 5XR",Grampian,Scotland,Scotland,,382764,857480.0,31/12/2012,"(57.60698637320974, -2.290093669825149)"
2953,3723,07/01/2015,Green Cat Renewables,Yonderton Farm,Wind Onshore,1.0,0.5,2.0,,Operational,"Hatton, Peterhead, Aberdeenshire",Grampian,Scotland,Scotland,AB42 0QS,403588,837834.0,01/12/2014,"(57.43083685274389, -1.9418958169446268)"
2955,3726,31/03/2014,Resonance ,Oakdale Business Park,Wind Onshore,4.0,2.0,2.0,,Operational,"Blackwood, Gwent",Gwent,Wales,Wales,,319119,199334.0,24/12/2013,"(51.68691489121153, -3.1713939230777983)"
2960,3732,06/06/2014,,Boddington Reservoir,Wind Onshore,1.5,1.5,1.0,,Operational,"Upper Boddington, Northamptonshire. NN1",Northamptonshire,East Midlands,England,,449381,253123.0,24/04/2014,"(52.17416400368305, -1.279318144881002)"
2961,3733,06/03/2013,Resonance ,HMP Standford Hill,Wind Onshore,4.6,2.3,2.0,,Operational,"Standford Hill, Church Road, Eastchurch, Sheerness ",Kent,South East,England,ME12 4AA,598426,170070.0,08/02/2013,"(51.39495773408245, 0.8508755272963309)"
2962,3734,23/05/2018,Partnerships for Renewables/AGR,Sharpness Docks,Wind Onshore,2.0,2.0,1.0,,Operational,"Dock Lane, Sharpness, Berkley, Gloucestershire",Gloucestershire,South West,England,,366743,202889.0,15/01/2017,"(51.72372806851119, -2.482868029036603)"
2963,3735,18/12/2013,REG Windpower (previously Cornwall Light and Power),Sancton Hill,Wind Onshore,10.0,2.0,5.0,,Operational,"nr Market Weighton, Sancton, York, ",Humberside,Yorkshire and Humber,England,,491554,439660.0,12/06/2012,"(53.84512265440913, -0.6099286851880023)"
2966,3738,24/10/2016,Peel Energy,Port of Sheerness Wind Farm (was Lappel Bank),Wind Onshore,8.2,2.05,4.0,125.0,Operational,"Sheerness Docks, Sheerness, Kent ",Kent,South East,England,ME12 1RS,591061,175143.0,20/09/2016,"(51.443045639161845, 0.7478733027214267)"
2967,3739,01/08/2017,REG Power Management (John Laing/Peel Energy),Stonish Hill (Bilsthorpe),Wind Onshore,10.3,2.0,5.0,,Operational,Former Bilsthorpe Colliery Eakring Road Bilsthorpe,Nottinghamshire,East Midlands,England,,466000,362000.0,31/03/2013,"(53.15105776825986, -1.0145679854061675)"
2969,3741,08/07/2013,E.ON UK,Stags Holt Extension,Wind Onshore,2.0,2.0,1.0,,Operational,"Franks Farm, Stags Holt, Coldham Bank Road, March, Cambridgeshire, PE15 0BS",Cambridgeshire,Eastern,England,,544000,299000.0,31/12/2010,"(52.56976887267601, 0.1232914174246108)"
2972,3745,20/09/2018,Garth Wind (North Yell Development Council),North Yell Wind Farm (Garth Community Wind Farm),Wind Onshore,4.5,0.9,5.0,,Operational,"Garth, near Gurcher, Yell, Shetland Islands. ZE2 9DF",Shetland,Scotland,Scotland,,454471,1198506.0,03/04/2017,"(60.66610768315664, -1.0051646238743204)"
2973,3746,10/05/2013,Corrimony Energy Ltd & Soirbheas,Glenurquhart and Strathglass Wind Farm project,Wind Onshore,10.0,2.0,5.0,,Operational,"Hill Ground At Corrimony Farm, Glenurquhart, Inverness",Highland,Scotland,Scotland,,234250,824290.0,19/04/2013,"(57.27908271090726, -4.751101720895592)"
2974,3747,31/10/2014,Private Developer,Damhead Farm,Wind Onshore,2.5,2.5,1.0,,Operational,"Land At Damhead Farm Bowhouse Road Airdrie North Lanarkshire, ML6 8PW",Strathclyde,Scotland,Scotland,,279061,663992.0,17/05/2013,"(55.85390784698297, -3.933494291047609)"
2975,3748,03/05/2013,Energiekontor UK,Hyndburn Wind Farm,Wind Onshore,24.0,2.0,12.0,,Operational,Hyndburn Wind Farm on Oswaldtwistle Moor,Lancashire,North West,England,,374424,424281.0,19/10/2012,"(53.71431304557691, -2.3889967624072215)"
2976,3749,06/03/2014,Ventient (formerly Infinis),Tedder Hill Wind cluster,Wind Onshore,7.5,2.5,3.0,,Operational,"near Roos, East Riding of Yorkshire",Humberside,Yorkshire and Humber,England,,530221,430242.0,30/08/2013,"(53.75228094227311, -0.02652278193165847)"
2978,3752,24/04/2012,Scottish Power Renewables,Lynemouth Windfarm (Resubmission),Wind Onshore,26.0,2.0,13.0,,Operational,"Land adjacent to Rio Tinto Alcan Smelter, Lynemouth (2km north of Ashington)",Northumberland,North East,England,,429400,589799.0,12/04/2012,"(55.20158190999713, -1.5396342529850073)"
2980,3754,04/06/2013,Ventient (formerly Infinis),Wingates Wind Farm,Wind Onshore,15.0,2.5,6.0,,Operational,"Wingates, Longhorsley, Morpeth, Northampronshire. NE65 8",Northumberland,North East,England,,413034,597920.0,31/03/2013,"(55.27525392207928, -1.796387901933919)"
2983,3757,04/06/2013,Private Developer,Wathegar wind farm,Wind Onshore,10.0,2.0,5.0,,Operational,"Land At Wathegar Bilbster, Wick, Caithness",Highland,Scotland,Scotland,,328540,950761.0,31/03/2013,"(58.439286300593785, -3.2256847803928967)"
2984,3758,26/02/2013,Ormsary and Stronachullin Estates (Allt Dearg Wind Farmers LLP),Allt Dearg Wind Farmers LLP,Wind Onshore,10.8,0.9,12.0,,Operational,"Cruach a'Phubuill, 9km south of Ardishaig, South Knapdale, Argyll",Strathclyde,Scotland,Scotland,,182893,676616.0,25/09/2012,"(55.93343464395872, -5.477371164938089)"
2985,3761,16/08/2013,RWE NPower Renewables,Hameldon Hill extension,Wind Onshore,7.5,2.5,3.0,,Operational,"Hameldon Hill, Accrington Road, Burnley, Lancashire",Lancashire,North West,England,BB11 5QQ,379914,430561.0,25/04/2013,"(53.77099847374024, -2.3062260253570415)"
2988,3764,20/05/2016,Ecotricity,Dalby,Wind Onshore,7.2,0.8,9.0,77.0,Operational,"Paddys Lane, Old Dalby, Melton Mowbray, Leicestershire",Leicestershire,East Midlands,England,LE14 3LY,465199,323653.0,15/03/2016,"(52.806496883670015, -1.0342572100069007)"
2989,3765,18/12/2014,EDF/China General Nuclear Power Corporation,Glass moor Extension,Wind Onshore,12.0,2.0,6.0,,Operational,"S/E Of Yewtree Farm, Glassmoor Bank, Whittlesey, Cambridge, Cambridgeshire",Cambridgeshire,Eastern,England,CB23,528421,292867.0,31/03/2013,"(52.518561438873505, -0.108802791482311)"
2995,3772,03/04/2018,Octopus Investments/Blue Energy,Cour Wind Farm,Wind Onshore,20.5,2.1,10.0,,Operational,"Carradale
Argyll And Bute",Strathclyde,Scotland,Scotland,,181005,648528.0,01/12/2016,"(55.68067907193874, -5.484928577654593)"
2999,3776,19/11/2018,J & A Wilson Ltd,Upper Wheedlemont Farm,Wind Onshore,1.7,0.85,2.0,,Operational,"Rhynie
Huntly
",Grampian,Scotland,Scotland,AB54 4LL,347391,826203.0,11/11/2017,"(57.32332677841944, -2.87524504115367)"
3006,3784,22/05/2013,Green Cat Renewables,Shielburn Farm,Wind Onshore,6.9,2.3,3.0,,Operational,"Newton Of Fortrie, Fortrie
Turriff
AB53 4HL",Grampian,Scotland,Scotland,,367618,845637.0,30/03/2013,"(57.499776059679725, -2.5419604271824747)"
3009,3787,31/07/2017,Octopus Investments/Blue Energy,Beinneun,Wind Onshore,85.0,3.4,25.0,,Operational,8km west of Invergarry,Highland,Scotland,Scotland,,220442,804419.0,16/02/2017,"(57.095605803530056, -4.965481047078889)"
3013,3791,29/11/2012,"Infinis, previously Broadview Energy",Seamer Wind Farm - Hambleton,Wind Onshore,4.0,2.0,2.0,,Operational,"Land Adjacent Hilton Road, Seamer, Middlesbrough",Cleveland,North East,England,,447872,511421.0,01/11/2012,"(54.49586705438186, -1.2623963838979242)"
3014,3792,16/02/2016,Blue Energy,Fanny House Farm/Heysham Moss,Wind Onshore,1.5,1.5,1.0,110.0,Operational,"Oxcliffe Road, Heaton With Oxcliffe, Morecambe, Lancashire",Lancashire,North West,England,LA3 3EF,342996,460568.0,01/02/2015,"(54.037924257758156, -2.8718994359920735)"
3015,3793,10/04/2014,Severn Trent Water,Newthorpe Wind Turbine,Wind Onshore,2.5,2.5,1.0,,Operational,"Sewage Treatment Works, Halls Lane, Giltbrook, Nottinghamshire",Nottinghamshire,East Midlands,England,NG16 2DE,447216,344836.0,08/04/2014,"(52.99877339799129, -1.2979272884885504)"
3017,3795,06/05/2014,Chelveston Renewable Energy Ltd,Chelveston Renewable Energy Park Wind Farm (Bedford),Wind Onshore,10.0,2.5,4.0,,Operational,"Chelveston Airfield, East Northamptonshore",Northamptonshire,East Midlands,England,,499823,268732.0,15/02/2014,"(52.307640006453276, -0.5372930559349136)"
3020,3799,18/03/2014,Future Spectrum Ltd,Torrance Farm,Wind Onshore,9.0,3.0,3.0,,Operational,"Blairmuckhill Road, Harthill, North Lanarkshire",Strathclyde,Scotland,Scotland,EH48 3AW,290842,665671.0,30/12/2013,"(55.87179886342245, -3.7460804270363797)"
3023,3802,09/12/2013,Greenside Wind Energy Ltd,Land at Overside and Greenwellheads Farms,Wind Onshore,9.2,2.3,4.0,,Operational,"Crimond, Fraserburgh, AB42 3HJ",Grampian,Scotland,Scotland,,406123,854692.0,01/11/2013,"(57.58223703419502, -1.8992629175211153)"
3024,3803,19/04/2013,Lancaster University,Lancaster University (wind),Wind Onshore,2.0,2.0,1.0,,Operational,"Bailrigg Lane, Lancaster, Lancashire",Lancashire,North West,England,,349007,457081.0,18/02/2013,"(54.007217932722604, -2.7795395264028104)"
3025,3804,19/09/2013,Seren Energy,Myreton Crossroads,Wind Onshore,1.6,0.8,2.0,,Operational,Keith Moray AB55 6NJ,Grampian,Scotland,Scotland,,349741,856864.0,05/07/2013,"(57.598976831962496, -2.842540289425755)"
3027,3806,07/01/2015,Green Cat Renewables,Auchinderran Wind Farm,Wind Onshore,2.4,0.8,3.0,80.0,Operational,"Auchinderran Farm, Aberchirder, Aberdeenshire",Grampian,Scotland,Scotland,,361419,854774.0,01/12/2014,"(57.581356622206506, -2.6468391119125076)"
3028,3807,03/07/2018,Broadview Energy,The Limes Wind Turbines,Wind Onshore,1.7,0.85,2.0,,Operational,"to the west of Staithes Road at Salt End, Hull.",Humberside,Yorkshire and Humber,England,,516489,429822.0,15/01/2015,"(53.75175441718453, -0.23482794316159264)"
3030,3809,28/04/2016,LocoGen,Milton of Fisherie Wind Cluster,Wind Onshore,4.6,2.3,2.0,,Operational,"King Edward, Banff AB45 3PX",Grampian,Scotland,Scotland,,375067,859014.0,01/02/2016,"(57.620403455095676, -2.4190537661317655)"
3031,3810,25/02/2014,Blantyre Muir Wind Energy Ltd ,Blantyre Muir Wind Farm,Wind Onshore,9.0,3.0,3.0,,Operational,Near Laigh Muirhouses Farm Muttonhole Road Hamilton ,Strathclyde,Scotland,Scotland,,268888,651781.0,30/12/2013,"(55.74160586076006, -4.0900005525205865)"
3035,3814,22/04/2015,Cetis,Lilbourne Wind Farm,Wind Onshore,10.0,2.0,5.0,,Operational,"Lilbourne Fields Farm & Lilbourne Lodge Farm, Yelvertoft Road, Lilbourne, Northamptonshire",Northamptonshire,East Midlands,England,CV23 0SZ,456786,277685.0,15/12/2014,"(52.39424864237209, -1.1669166573491752)"
3039,3818,20/03/2014,Eneco,Tullo Wind Farm North Extension (Shiels Wind Farm),Wind Onshore,7.5,2.5,3.0,,Operational,Laurencekirk,Grampian,Scotland,Scotland,AB30 1NB,375080,772580.0,01/04/2014,"(56.84399767109919, -2.4101216596856303)"
3040,3819,16/08/2016,Melrose Farms,Easter Melrose Wind Energy Project,Wind Onshore,1.5,0.5,3.0,,Operational,"Gamrie, Banff",Grampian,Scotland,Scotland,,375187,863494.0,01/12/2015,"(57.66064973865067, -2.4175068670879725)"
3048,3827,30/04/2014,TCI Renewables,Newton Marsh Wind Project,Wind Onshore,4.6,2.3,2.0,,Operational,"Newton Marsh Sewage Treatment Works, Tetney, North-East Lincolnshire",Lincolnshire,East Midlands,England,,533327,403278.0,30/04/2014,"(53.50928837345263, 0.009010446733467469)"
3049,3828,02/03/2015,Bernard Matthews Green Energy,North Pickenham Airfield,Wind Onshore,4.0,2.0,2.0,,Operational,"North Pickenham Road, Breckland",Norfolk,Eastern,England,,585114,306597.0,01/04/2014,"(52.625563810994024, 0.7335086877392809)"
3052,3832,16/06/2015,Airvolution Energy,Wythegill Wind Turbine,Wind Onshore,2.3,2.3,1.0,,Operational,"Land at Wythegill Syke, Seaton, Workington, Cumbria",Cumbria,North West,England,CA15 8RX,301881,532072.0,15/06/2015,"(54.674125211924256, -3.5230893342213325)"
3055,3835,04/06/2013,Renewable Energy Systems (RES),Roos Wind Farm (Resubmission),Wind Onshore,17.1,1.9,9.0,,Operational,Land To The West Of Ivy House Rectory Road Roos East Riding Of Yorkshire,Humberside,Yorkshire and Humber,England,,527376,430105.0,02/04/2013,"(53.751752594899266, -0.0696997788955655)"
3056,3836,22/05/2015,Private Developer,Backhill of Yonderton Wind Cluster,Wind Onshore,4.6,2.3,2.0,,Operational,"Backhill Of Yonderton
Craigston
 Turriff
 AB53 5PT",Grampian,Scotland,Scotland,,375188,855296.0,15/10/2014,"(57.58701465207521, -2.4166458120482313)"
3057,3837,25/02/2013,Scottish and Southern Energy (SSE),Spurness Wind Farm Repowering,Wind Onshore,10.0,2.0,5.0,,Operational,"Spurness, Sanday",Orkney Islands,Scotland,Scotland,,360531,1033828.0,01/12/2012,"(59.18929522515641, -2.6925172392806958)"
3060,3840,05/03/2015,Green Cat Renewables,St Johns Wells Wind Cluster Extension,Wind Onshore,3.2,0.8,4.0,,Operational,"St Johns Wells, Fyvie, Turriff AB53 8PX",Grampian,Scotland,Scotland,,379960,836480.0,01/03/2015,"(57.41824098359546, -2.3352801582876674)"
3061,3841,03/10/2013,Glaxosmithkline,GlaxoSmithKline Wind Project,Wind Onshore,7.5,2.5,3.0,,Operational,Shewalton Road Riverside Business Park Irvine Ayrshire KA11 5AP,Strathclyde,Scotland,Scotland,,234144,636959.0,30/06/2013,"(55.597914851846795, -4.633876291976412)"
3062,3842,26/02/2014,KL Technology Limited,K L Technologies Wind Turbine,Wind Onshore,1.5,1.5,1.0,,Operational,K L Technology Ltd Estuary Road King's Lynn Norfolk PE30 2HS,Norfolk,Eastern,England,,561043,321955.0,30/10/2013,"(52.771175040243875, 0.38574647834654396)"
3065,3846,23/03/2020,RockbySea,Coire Na Cloiche Wind Farm,Wind Onshore,29.9,2.3,13.0,,Operational,"Land At Sidhean A'Choin Bhain, Strathrusdale, Alness",Highland,Scotland,Scotland,IV17 0YQ,258937,878023.0,01/03/2020,"(57.76961921131164, -4.373160505979298)"
3069,3850,01/12/2017,NTR PLC,Altaveedan Wind Farm,Wind Onshore,17.9,2.35,6.0,,Operational,"in the townlands of Shelton South, Aldorough, Altaveedan North, Altaveedan South and Turnavedog near Loughguile, Co Antrim",Co. Antrim,Northern Ireland,Northern Ireland,,128388,584976.0,24/04/2017,"(55.08465524010353, -6.2577505007965195)"
3071,3852,14/07/2017,Northern Ireland Renewables,Corkey Wind Farm Extension,Wind Onshore,2.5,2.5,1.0,,Operational,"583m north of 42 Reservoir Road, Knockagallen, Corkey.",Co. Antrim,Northern Ireland,Northern Ireland,,126713,580597.0,13/07/2017,"(55.04449601879006, -6.279719691845964)"
3073,3855,25/10/2016,2020 Renewables/ NTR,Ardoch and Over Enoch Wind Farm (Over Enoch),Wind Onshore,4.3,2.3,2.0,110.0,Operational,"Over Enoch Road, Eaglesham, East Renfrewshire",Strathclyde,Scotland,Scotland,G76 0PN,258600,648600.0,12/11/2014,"(55.71015074804972, -4.252091812959898)"
3074,3856,10/05/2013,Airvolution Energy,Ystgellog Farm Wind Farm,Wind Onshore,4.6,2.3,2.0,,Operational,"Ysgellog Farm, Rhosgoch, Builth Wells, Powys, LD2",Gwynedd,Wales,Wales,,240490,391238.0,30/04/2013,"(53.39381008384975, -4.400309700524137)"
