sector,year,value,source,target
Packaging ,2033,199824.32450596217,wmc_collected,formal_domestic_treatment
Packaging ,2034,687957.6007763748,la_collected_household,treated_overseas
Packaging ,2034,62541.60007057953,la_collected_household,mismanaged
Packaging ,2034,500332.80056463624,la_collected_household,formal_domestic_treatment
Packaging ,2034,275183.04031054996,la_collected_other,treated_overseas
Packaging ,2034,25016.640028231814,la_collected_other,mismanaged
Packaging ,2034,200133.1202258545,la_collected_other,formal_domestic_treatment
Packaging ,2034,275183.04031054996,wmc_collected,treated_overseas
Packaging ,2034,25016.640028231814,wmc_collected,mismanaged
Packaging ,2034,200133.1202258545,wmc_collected,formal_domestic_treatment
Packaging ,2035,688947.352821935,la_collected_household,treated_overseas
Packaging ,2035,62631.57752926682,la_collected_household,mismanaged
Packaging ,2035,501052.62023413455,la_collected_household,formal_domestic_treatment
Packaging ,2035,275578.941128774,la_collected_other,treated_overseas
Packaging ,2035,25052.63101170673,la_collected_other,mismanaged
Packaging ,2035,200421.04809365384,la_collected_other,formal_domestic_treatment
Packaging ,2035,275578.941128774,wmc_collected,treated_overseas
Packaging ,2035,25052.63101170673,wmc_collected,mismanaged
Packaging ,2035,200421.04809365384,wmc_collected,formal_domestic_treatment
Packaging ,2036,689884.1404092937,la_collected_household,treated_overseas
Packaging ,2036,62716.74003720852,la_collected_household,mismanaged
Packaging ,2036,501733.92029766814,la_collected_household,formal_domestic_treatment
Packaging ,2036,275953.6561637175,la_collected_other,treated_overseas
Packaging ,2036,25086.696014883408,la_collected_other,mismanaged
Packaging ,2036,200693.56811906726,la_collected_other,formal_domestic_treatment
Packaging ,2036,275953.6561637175,wmc_collected,treated_overseas
Packaging ,2036,25086.696014883408,wmc_collected,mismanaged
Packaging ,2036,200693.56811906726,wmc_collected,formal_domestic_treatment
Packaging ,2037,690776.4987679963,la_collected_household,treated_overseas
Packaging ,2037,62797.863524363296,la_collected_household,mismanaged
Packaging ,2037,502382.90819490637,la_collected_household,formal_domestic_treatment
Packaging ,2037,276310.59950719855,la_collected_other,treated_overseas
Packaging ,2037,25119.14540974532,la_collected_other,mismanaged
Packaging ,2037,200953.16327796257,la_collected_other,formal_domestic_treatment
Packaging ,2037,276310.59950719855,wmc_collected,treated_overseas
Packaging ,2037,25119.14540974532,wmc_collected,mismanaged
Packaging ,2037,200953.16327796257,wmc_collected,formal_domestic_treatment
Packaging ,2038,691630.010894062,la_collected_household,treated_overseas
Packaging ,2038,62875.45553582382,la_collected_household,mismanaged
Packaging ,2038,503003.64428659057,la_collected_household,formal_domestic_treatment
Packaging ,2038,276652.00435762486,la_collected_other,treated_overseas
Packaging ,2038,25150.18221432953,la_collected_other,mismanaged
Packaging ,2038,201201.45771463623,la_collected_other,formal_domestic_treatment
Packaging ,2038,276652.00435762486,wmc_collected,treated_overseas
Packaging ,2038,25150.18221432953,wmc_collected,mismanaged
Packaging ,2038,201201.45771463623,wmc_collected,formal_domestic_treatment
Packaging ,2039,692447.9657912736,la_collected_household,treated_overseas
Packaging ,2039,62949.81507193396,la_collected_household,mismanaged
Packaging ,2039,503598.5205754717,la_collected_household,formal_domestic_treatment
Packaging ,2039,276979.18631650944,la_collected_other,treated_overseas
Packaging ,2039,25179.926028773585,la_collected_other,mismanaged
Packaging ,2039,201439.40823018868,la_collected_other,formal_domestic_treatment
Packaging ,2039,276979.18631650944,wmc_collected,treated_overseas
Packaging ,2039,25179.926028773585,wmc_collected,mismanaged
Packaging ,2039,201439.40823018868,wmc_collected,formal_domestic_treatment
Packaging ,2040,693227.1391308287,la_collected_household,treated_overseas
Packaging ,2040,63020.64901189352,la_collected_household,mismanaged
Packaging ,2040,504165.19209514814,la_collected_household,formal_domestic_treatment
Packaging ,2040,277290.8556523315,la_collected_other,treated_overseas
Packaging ,2040,25208.259604757408,la_collected_other,mismanaged
Packaging ,2040,201666.07683805926,la_collected_other,formal_domestic_treatment
Packaging ,2040,277290.8556523315,wmc_collected,treated_overseas
Packaging ,2040,25208.259604757408,wmc_collected,mismanaged
Packaging ,2040,201666.07683805926,wmc_collected,formal_domestic_treatment
Packaging ,2041,693963.1976301958,la_collected_household,treated_overseas
Packaging ,2041,63087.56342092689,la_collected_household,mismanaged
Packaging ,2041,504700.5073674151,la_collected_household,formal_domestic_treatment
Packaging ,2041,277585.2790520783,la_collected_other,treated_overseas
Packaging ,2041,25235.025368370756,la_collected_other,mismanaged
Packaging ,2041,201880.20294696605,la_collected_other,formal_domestic_treatment
Packaging ,2041,277585.2790520783,wmc_collected,treated_overseas
Packaging ,2041,25235.025368370756,wmc_collected,mismanaged
Packaging ,2041,201880.20294696605,wmc_collected,formal_domestic_treatment
Packaging ,2042,694655.7046770755,la_collected_household,treated_overseas
Packaging ,2042,63150.51860700687,la_collected_household,mismanaged
Packaging ,2042,505204.14885605493,la_collected_household,formal_domestic_treatment
Packaging ,2042,277862.2818708302,la_collected_other,treated_overseas
Packaging ,2042,25260.207442802748,la_collected_other,mismanaged
Packaging ,2042,202081.65954242198,la_collected_other,formal_domestic_treatment
Packaging ,2042,277862.2818708302,wmc_collected,treated_overseas
Packaging ,2042,25260.207442802748,wmc_collected,mismanaged
Packaging ,2042,202081.65954242198,wmc_collected,formal_domestic_treatment
Packaging ,2012,286463.3793187728,formal_domestic_treatment,residual
Packaging ,2012,190975.58621251522,formal_domestic_treatment,recycling
Packaging ,2012,114585.35172750913,formal_domestic_treatment,residual
Packaging ,2012,76390.23448500609,formal_domestic_treatment,recycling
Packaging ,2012,114585.35172750913,formal_domestic_treatment,residual
Packaging ,2012,76390.23448500609,formal_domestic_treatment,recycling
Packaging ,2013,271992.2403556276,formal_domestic_treatment,residual
