variable,year,forecast_type,level,total,method,exogenous_factor,material1,application,material,domestic_production,net_imports,,
Placed on market,2021,,,7931.735016,,,Plastic,Other,ps,3965.867508,3965.867508,,
Placed on market,2021,,,3399.315007,,,Plastic,Other,pvc,1699.657503,1699.657503,,
Placed on market,2021,,,30593.83506,,,Plastic,PTT,hdpe,15296.91753,15296.91753,,
Placed on market,2021,,,23795.20505,,,Plastic,PTT,ldpe,11897.60252,11897.60252,,
Placed on market,2021,,,15863.47003,,,Plastic,PTT,other,7931.735016,7931.735016,,
Placed on market,2021,,,5665.525011,,,Plastic,PTT,pe,2832.762506,2832.762506,,
Placed on market,2021,,,188095.4304,,,Plastic,PTT,pet,94047.71519,94047.71519,,
Placed on market,2021,,,184696.1154,,,Plastic,PTT,pp,92348.05768,92348.05768,,
Placed on market,2021,,,38525.57008,,,Plastic,PTT,ps,19262.78504,19262.78504,,
Placed on market,2021,,,5665.525011,,,Plastic,PTT,pvc,2832.762506,2832.762506,,
Placed on market,2022,,,387292.1672,,,Plastic,Bottle,hdpe,193646.0836,193646.0836,,
Placed on market,2022,,,1078.808265,,,Plastic,Bottle,ldpe,539.4041326,539.4041326,,
Placed on market,2022,,,1078.808265,,,Plastic,Bottle,other,539.4041326,539.4041326,,
Placed on market,2022,,,1078.808265,,,Plastic,Bottle,pe,539.4041326,539.4041326,,
Placed on market,2022,,,432602.1144,,,Plastic,Bottle,pet,216301.0572,216301.0572,,
Placed on market,2022,,,6472.849592,,,Plastic,Bottle,pp,3236.424796,3236.424796,,
Placed on market,2022,,,0,,,Plastic,Bottle,ps,0,0,,
Placed on market,2022,,,0,,,Plastic,Bottle,pvc,0,0,,
Placed on market,2022,,,20497.35704,,,Plastic,Film,hdpe,10248.67852,10248.67852,,
Placed on market,2022,,,330115.3292,,,Plastic,Film,ldpe,165057.6646,165057.6646,,
Placed on market,2022,,,88462.27775,,,Plastic,Film,other,44231.13888,44231.13888,,
Placed on market,2022,,,152111.9654,,,Plastic,Film,pe,76055.9827,76055.9827,,
Placed on market,2022,,,35600.67275,,,Plastic,Film,pet,17800.33638,17800.33638,,
Placed on market,2022,,,128378.1836,,,Plastic,Film,pp,64189.09178,64189.09178,,
Placed on market,2022,,,0,,,Plastic,Film,ps,0,0,,
Placed on market,2022,,,8630.466122,,,Plastic,Film,pvc,4315.233061,4315.233061,,
Placed on market,2022,,,16182.12398,,,Plastic,Other,hdpe,8091.061989,8091.061989,,
Placed on market,2022,,,4315.233061,,,Plastic,Other,ldpe,2157.616531,2157.616531,,
Placed on market,2022,,,10788.08265,,,Plastic,Other,other,5394.041326,5394.041326,,
Placed on market,2022,,,7551.657857,,,Plastic,Other,pe,3775.828928,3775.828928,,
Placed on market,2022,,,25891.39837,,,Plastic,Other,pet,12945.69918,12945.69918,,
Placed on market,2022,,,52861.605,,,Plastic,Other,pp,26430.8025,26430.8025,,
Placed on market,2022,,,14024.50745,,,Plastic,Other,ps,7012.253724,7012.253724,,
Placed on market,2022,,,1078.808265,,,Plastic,Other,pvc,539.4041326,539.4041326,,
Placed on market,2022,,,19418.54877,,,Plastic,PTT,hdpe,9709.274387,9709.274387,,
Placed on market,2022,,,0,,,Plastic,PTT,ldpe,0,0,,
Placed on market,2022,,,5394.041326,,,Plastic,PTT,other,2697.020663,2697.020663,,
Placed on market,2022,,,2157.616531,,,Plastic,PTT,pe,1078.808265,1078.808265,,
Placed on market,2022,,,250283.5175,,,Plastic,PTT,pet,125141.7588,125141.7588,,
Placed on market,2022,,,204973.5704,,,Plastic,PTT,pp,102486.7852,102486.7852,,
Placed on market,2022,,,36679.48102,,,Plastic,PTT,ps,18339.74051,18339.74051,,
Placed on market,2022,,,0,,,Plastic,PTT,pvc,0,0,,
Placed on market,2023,"linear model, time-series components",Mid,419671.1137,Ratio-based,Population,Plastic,Bottle,hdpe,209835.5568,209835.5568,,
Placed on market,2023,"linear model, time-series components",Mid,1169.000317,Ratio-based,Population,Plastic,Bottle,ldpe,584.5001583,584.5001583,,
Placed on market,2023,"linear model, time-series components",Mid,1169.000317,Ratio-based,Population,Plastic,Bottle,other,584.5001583,584.5001583,,
Placed on market,2023,"linear model, time-series components",Mid,1169.000317,Ratio-based,Population,Plastic,Bottle,pe,584.5001583,584.5001583,,
Placed on market,2023,"linear model, time-series components",Mid,468769.127,Ratio-based,Population,Plastic,Bottle,pet,234384.5635,234384.5635,,
Placed on market,2023,"linear model, time-series components",Mid,7014.0019,Ratio-based,Population,Plastic,Bottle,pp,3507.00095,3507.00095,,
Placed on market,2023,"linear model, time-series components",Mid,0,Ratio-based,Population,Plastic,Bottle,ps,0,0,,
Placed on market,2023,"linear model, time-series components",Mid,0,Ratio-based,Population,Plastic,Bottle,pvc,0,0,,
Placed on market,2023,"linear model, time-series components",Mid,22211.00602,Ratio-based,Population,Plastic,Film,hdpe,11105.50301,11105.50301,,
Placed on market,2023,"linear model, time-series components",Mid,357714.0969,Ratio-based,Population,Plastic,Film,ldpe,178857.0484,178857.0484,,
Placed on market,2023,"linear model, time-series components",Mid,95858.02596,Ratio-based,Population,Plastic,Film,other,47929.01298,47929.01298,,
Placed on market,2023,"linear model, time-series components",Mid,164829.0446,Ratio-based,Population,Plastic,Film,pe,82414.52232,82414.52232,,
Placed on market,2023,"linear model, time-series components",Mid,38577.01045,Ratio-based,Population,Plastic,Film,pet,19288.50522,19288.50522,,
Placed on market,2023,"linear model, time-series components",Mid,139111.0377,Ratio-based,Population,Plastic,Film,pp,69555.51884,69555.51884,,
Placed on market,2023,"linear model, time-series components",Mid,0,Ratio-based,Population,Plastic,Film,ps,0,0,,
Placed on market,2023,"linear model, time-series components",Mid,9352.002533,Ratio-based,Population,Plastic,Film,pvc,4676.001266,4676.001266,,
Placed on market,2023,"linear model, time-series components",Mid,17535.00475,Ratio-based,Population,Plastic,Other,hdpe,8767.502374,8767.502374,,
